city,year,im2_cnt,im3_cnt
Aalst (Alost),1400,216.666666666667,3683.33333333333
Aalst (Alost),1500,1962.33333333332,48692.9999999998
Aalst (Alost),1600,2104.33333333333,52440.3333333331
Aalst (Alost),1700,216.666666666667,3683.33333333333
Aalst (Alost),1800,0,0
Aalst (Alost),1900,0,0
Aalst (Alost),2000,0,0
Venezia,0,0,0
Venezia,100,0,0
Venezia,200,0,0
Venezia,300,0,0
Venezia,400,0,0
Venezia,500,0,0
Venezia,600,2700,45350
Venezia,700,2539,47786
Venezia,800,6110.99999999999,114914
Venezia,900,4941.99999999999,90821.9999999999
Venezia,1000,3483,58527.9999999999
Venezia,1100,10922.4026107514,256826.557714051
Venezia,1200,13076.326202808,269069.204997813
Venezia,1300,12023.5495369562,291534.14450463
Venezia,1400,11352.7216494845,304920.092783506
Venezia,1500,2773.86363636363,55355.6818181819
Venezia,1600,573.863636363636,9755.68181818183
Venezia,1700,102.272727272727,1738.63636363636
Venezia,1800,0,0
Venezia,1900,0,0
Venezia,2000,0,0
Calais,0,0,0
Calais,100,0,0
Calais,200,0,0
Calais,300,0,0
Calais,400,0,0
Calais,500,0,0
Calais,600,0,0
Calais,700,0,0
Calais,800,0,0
Calais,900,0,0
Calais,1000,0,0
Calais,1100,0,0
Calais,1200,278.571428571429,6685.71428571429
Calais,1300,919.285714285716,22062.8571428571
Calais,1400,937.857142857145,22508.5714285714
Calais,1500,464.285714285714,11142.8571428572
Calais,1600,0,0
Calais,1700,0,0
Calais,1800,0,0
Calais,1900,0,0
Calais,2000,0,0
Bad Hersfeld,0,0,0
Bad Hersfeld,100,0,0
Bad Hersfeld,200,0,0
Bad Hersfeld,300,0,0
Bad Hersfeld,400,0,0
Bad Hersfeld,500,0,0
Bad Hersfeld,600,0,0
Bad Hersfeld,700,0,0
Bad Hersfeld,800,1532,19852
Bad Hersfeld,900,0,0
Bad Hersfeld,1000,507.355060034305,9492.80274442538
Bad Hersfeld,1100,3458.64493996569,71235.1972555745
Bad Hersfeld,1200,0,0
Bad Hersfeld,1300,0,0
Bad Hersfeld,1400,930,13020
Bad Hersfeld,1500,570,10260
Bad Hersfeld,1600,0,0
Bad Hersfeld,1700,0,0
Bad Hersfeld,1800,0,0
Bad Hersfeld,1900,0,0
Bad Hersfeld,2000,0,0
Trapani,0,0,0
Trapani,100,0,0
Trapani,200,0,0
Trapani,300,0,0
Trapani,400,600,10800
Trapani,500,600,10800
Trapani,600,0,0
Trapani,700,0,0
Trapani,800,0,0
Trapani,900,0,0
Trapani,1000,0,0
Trapani,1100,2090,39020
Trapani,1200,1410,24480
Trapani,1300,1200,21600
Trapani,1400,751.851851851852,15037.037037037
Trapani,1500,648.148148148149,12962.962962963
Trapani,1600,0,0
Trapani,1700,0,0
Trapani,1800,0,0
Trapani,1900,0,0
Trapani,2000,0,0
"Gent (Gand, Ghent)",0,0,0
"Gent (Gand, Ghent)",100,0,0
"Gent (Gand, Ghent)",200,0,0
"Gent (Gand, Ghent)",300,0,0
"Gent (Gand, Ghent)",400,0,0
"Gent (Gand, Ghent)",500,0,0
"Gent (Gand, Ghent)",600,0,0
"Gent (Gand, Ghent)",700,6.86,50.764
"Gent (Gand, Ghent)",800,1342.14000000001,22443.3360000001
"Gent (Gand, Ghent)",900,864.60121212121,11904.916969697
"Gent (Gand, Ghent)",1000,2219.95976348855,37817.2415668884
"Gent (Gand, Ghent)",1100,1387.93300029386,27089.1968851015
"Gent (Gand, Ghent)",1200,3427.42902042955,69898.7964903089
"Gent (Gand, Ghent)",1300,6935.41827823504,178580.853746133
"Gent (Gand, Ghent)",1400,3094.26742108398,82413.1030375227
"Gent (Gand, Ghent)",1500,1967.39130434783,54217.3913043478
"Gent (Gand, Ghent)",1600,0,0
"Gent (Gand, Ghent)",1700,0,0
"Gent (Gand, Ghent)",1800,0,0
"Gent (Gand, Ghent)",1900,0,0
"Gent (Gand, Ghent)",2000,0,0
Montagnana,0,0,0
Montagnana,100,0,0
Montagnana,200,0,0
Montagnana,300,0,0
Montagnana,400,0,0
Montagnana,500,0,0
Montagnana,600,0,0
Montagnana,700,0,0
Montagnana,800,0,0
Montagnana,900,0,0
Montagnana,1000,1485,25850
Montagnana,1100,715,14300
Montagnana,1200,900,14400
Montagnana,1300,0,0
Montagnana,1400,454.929577464789,10008.4507042253
Montagnana,1500,1245.07042253521,27391.5492957746
Montagnana,1600,0,0
Montagnana,1700,0,0
Montagnana,1800,0,0
Montagnana,1900,0,0
Montagnana,2000,0,0
Gubbio,0,0,0
Gubbio,100,0,0
Gubbio,200,0,0
Gubbio,300,0,0
Gubbio,400,0,0
Gubbio,500,0,0
Gubbio,600,0,0
Gubbio,700,220.5,3528
Gubbio,800,454.5,7272
Gubbio,900,225,3600
Gubbio,1000,650,12350
Gubbio,1100,650,12350
Gubbio,1200,1371.42857142857,27428.5714285714
Gubbio,1300,3010.38961038961,65253.2467532467
Gubbio,1400,68.1818181818182,1418.18181818182
Gubbio,1500,250,5600
Gubbio,1600,0,0
Gubbio,1700,0,0
Gubbio,1800,0,0
Gubbio,1900,0,0
Gubbio,2000,0,0
Zomergem,0,0,0
Zomergem,100,0,0
Zomergem,200,0,0
Zomergem,300,0,0
Zomergem,400,0,0
Zomergem,500,0,0
Zomergem,600,0,0
Zomergem,700,0,0
Zomergem,800,0,0
Zomergem,900,0,0
Zomergem,1000,0,0
Zomergem,1100,0,0
Zomergem,1200,372.5,4842.5
Zomergem,1300,372.5,4842.5
Zomergem,1400,0,0
Zomergem,1500,0,0
Zomergem,1600,0,0
Zomergem,1700,0,0
Zomergem,1800,0,0
Zomergem,1900,0,0
Zomergem,2000,0,0
Landshut,0,0,0
Landshut,100,0,0
Landshut,200,0,0
Landshut,300,0,0
Landshut,400,0,0
Landshut,500,0,0
Landshut,600,0,0
Landshut,700,0,0
Landshut,800,0,0
Landshut,900,0,0
Landshut,1000,0,0
Landshut,1100,365.05,4745.65
Landshut,1200,1729.95,27889.35
Landshut,1300,116.197183098592,2091.54929577465
Landshut,1400,3245.21376276307,59053.1810630686
Landshut,1500,2367.79884434814,46947.0458649332
Landshut,1600,9.79020979020979,176.223776223776
Landshut,1700,0,0
Landshut,1800,0,0
Landshut,1900,0,0
Landshut,2000,0,0
"Liege (Luik, Luettich)",0,0,0
"Liege (Luik, Luettich)",100,0,0
"Liege (Luik, Luettich)",200,0,0
"Liege (Luik, Luettich)",300,0,0
"Liege (Luik, Luettich)",400,0,0
"Liege (Luik, Luettich)",500,0,0
"Liege (Luik, Luettich)",600,0,0
"Liege (Luik, Luettich)",700,0,0
"Liege (Luik, Luettich)",800,0,0
"Liege (Luik, Luettich)",900,0,0
"Liege (Luik, Luettich)",1000,6628.11627906979,110613.441860465
"Liege (Luik, Luettich)",1100,5031.408372093,94269.1358139537
"Liege (Luik, Luettich)",1200,4170.78147128618,79443.463141908
"Liege (Luik, Luettich)",1300,1371.53598281418,31545.3276047261
"Liege (Luik, Luettich)",1400,1686.68730650155,40440.8668730651
"Liege (Luik, Luettich)",1500,1976.4705882353,49411.7647058824
"Liege (Luik, Luettich)",1600,0,0
"Liege (Luik, Luettich)",1700,0,0
"Liege (Luik, Luettich)",1800,0,0
"Liege (Luik, Luettich)",1900,0,0
"Liege (Luik, Luettich)",2000,0,0
Tienen,0,0,0
Tienen,100,0,0
Tienen,200,0,0
Tienen,300,0,0
Tienen,400,0,0
Tienen,500,0,0
Tienen,600,0,0
Tienen,700,0,0
Tienen,800,0,0
Tienen,900,0,0
Tienen,1000,0,0
Tienen,1100,0,0
Tienen,1200,800,17600
Tienen,1300,980,21560
Tienen,1400,20,440
Tienen,1500,400,8800
Tienen,1600,0,0
Tienen,1700,0,0
Tienen,1800,0,0
Tienen,1900,0,0
Tienen,2000,0,0
Hattingen,0,0,0
Hattingen,100,0,0
Hattingen,200,0,0
Hattingen,300,0,0
Hattingen,400,0,0
Hattingen,500,0,0
Hattingen,600,0,0
Hattingen,700,0,0
Hattingen,800,0,0
Hattingen,900,0,0
Hattingen,1000,0,0
Hattingen,1100,585,6435
Hattingen,1200,0,0
Hattingen,1300,0,0
Hattingen,1400,0,0
Hattingen,1500,0,0
Hattingen,1600,0,0
Hattingen,1700,0,0
Hattingen,1800,0,0
Hattingen,1900,0,0
Hattingen,2000,0,0
Trier,0,0,0
Trier,100,0,0
Trier,200,0,0
Trier,300,0,0
Trier,400,0,0
Trier,500,0,0
Trier,600,0,0
Trier,700,-29.3999999999999,-308.7
Trier,800,185.399999999999,2357.10000000001
Trier,900,2241.48,44999.4479999999
Trier,1000,4532.16304219097,111112.947632865
Trier,1100,6215.84573155689,131990.669306686
Trier,1200,3422.51122625216,66766.335060449
Trier,1300,2446,48252
Trier,1400,0,0
Trier,1500,100,1500
Trier,1600,0,0
Trier,1700,0,0
Trier,1800,0,0
Trier,1900,0,0
Trier,2000,0,0
Beauvais,0,0,0
Beauvais,100,0,0
Beauvais,200,0,0
Beauvais,300,0,0
Beauvais,400,0,0
Beauvais,500,0,0
Beauvais,600,0,0
Beauvais,700,6.86,50.764
Beauvais,800,7.14,52.836
Beauvais,900,1723.21,31110.62
Beauvais,1000,2362.79,45596.38
Beauvais,1100,580,17400
Beauvais,1200,2639.67213114754,94763.9344262295
Beauvais,1300,3180.32786885245,155836.06557377
Beauvais,1400,0,0
Beauvais,1500,0,0
Beauvais,1600,0,0
Beauvais,1700,0,0
Beauvais,1800,0,0
Beauvais,1900,0,0
Beauvais,2000,0,0
Romorantin (Romorantin-Lanthenay),0,0,0
Romorantin (Romorantin-Lanthenay),100,0,0
Romorantin (Romorantin-Lanthenay),200,0,0
Romorantin (Romorantin-Lanthenay),300,0,0
Romorantin (Romorantin-Lanthenay),400,0,0
Romorantin (Romorantin-Lanthenay),500,0,0
Romorantin (Romorantin-Lanthenay),600,0,0
Romorantin (Romorantin-Lanthenay),700,0,0
Romorantin (Romorantin-Lanthenay),800,0,0
Romorantin (Romorantin-Lanthenay),900,0,0
Romorantin (Romorantin-Lanthenay),1000,372.5,4842.5
Romorantin (Romorantin-Lanthenay),1100,372.5,4842.5
Romorantin (Romorantin-Lanthenay),1200,0,0
Romorantin (Romorantin-Lanthenay),1300,0,0
Romorantin (Romorantin-Lanthenay),1400,700,12600
Romorantin (Romorantin-Lanthenay),1500,700,12600
Romorantin (Romorantin-Lanthenay),1600,0,0
Romorantin (Romorantin-Lanthenay),1700,0,0
Romorantin (Romorantin-Lanthenay),1800,0,0
Romorantin (Romorantin-Lanthenay),1900,0,0
Romorantin (Romorantin-Lanthenay),2000,0,0
Freiburg (Freiburg im Breisgau),0,0,0
Freiburg (Freiburg im Breisgau),100,0,0
Freiburg (Freiburg im Breisgau),200,0,0
Freiburg (Freiburg im Breisgau),300,0,0
Freiburg (Freiburg im Breisgau),400,0,0
Freiburg (Freiburg im Breisgau),500,0,0
Freiburg (Freiburg im Breisgau),600,0,0
Freiburg (Freiburg im Breisgau),700,0,0
Freiburg (Freiburg im Breisgau),800,0,0
Freiburg (Freiburg im Breisgau),900,0,0
Freiburg (Freiburg im Breisgau),1000,0,0
Freiburg (Freiburg im Breisgau),1100,0,0
Freiburg (Freiburg im Breisgau),1200,1291.91638206456,25661.0923212515
Freiburg (Freiburg im Breisgau),1300,1801.31135792401,44990.5818149191
Freiburg (Freiburg im Breisgau),1400,2254.19633172773,52563.3999834178
