osmid,city,church,period,previous_surface,end_surface,factor,rule_of_thumb,rule_of_thumb_m2,estimated by rule of thumb,period1,period2,,,,
90756726,Fulda,Fuldaer Dom,790-820,3200,4400,1,1.879,2341.671102,2200,790,820,,,2341.671102,3200
2052246,Halberstadt,Dom St. Stephanus und St. Sixtus,800-859,1500,2800,2,1.879,793.0571248,725,850,859,,,793.0571248,1500
2052246,Halberstadt,Dom St. Stephanus und St. Sixtus,800-859,1500,1800,1,1.879,957.9563598,,850,859,,,957.9563598,1500
2052246,Halberstadt,Dom St. Stephanus und St. Sixtus,965-992,1800,2800,1,1.879,1490.154337,1450,965,992,,,1490.154337,1800
86409136,Hildesheim,Dom Mari_ Himmelfahrt,852-872,1600,2000,1,1.879,1064.395955,1000,852,872,,,1064.395955,1600
22993770,Magdeburg,Magdeburger Dom,950-975,2100,4600,1,1.879,2448.110697,2300,950,975,,,2448.110697,2100
94521804,Merseburg,Dom zu Merseburg,1015-1042,1000,1900,1,1.879,1011.176158,950,1015,1042,,,1011.176158,1000
255378538,Paderborn,Dom,800-850,1100,3400,2,1.879,962.9979372,850,800,850,,,962.9979372,1100
255378538,Paderborn,Dom,800-850,1100,2000,1,1.879,1064.395955,,800,850,,,1064.395955,1100
255378538,Paderborn,Dom,1000-1030,2000,3400,1,1.879,1809.473124,,1000,1030,,,1809.473124,2000
35840960,Paderborn,Abdinghofkirche,750-780,144,1300,3,1.879,195.9580062,163,750,780,,,195.9580062,144
35840960,Paderborn,Abdinghofkirche,750-780,144,1600,2,1.879,453.1754999,,750,780,,,453.1754999,144
35840960,Paderborn,Abdinghofkirche,750-780,144,900,1,1.879,478.9781799,,750,780,,,478.9781799,144
35840960,Paderborn,Abdinghofkirche,850-900,900,1300,2,1.879,368.2050936,325,850,900,,,368.2050936,900
35840960,Paderborn,Abdinghofkirche,850-900,900,1600,1,1.879,851.5167642,,850,900,,,851.5167642,900
35840960,Paderborn,Abdinghofkirche,1015-1031,1600,1300,1,1.879,691.8573709,650,1015,1031,,,691.8573709,1600
203521174,Quedlinburg,Stiftskirche St. Servatius,997-1021,1200,1300,1,1.879,691.8573709,650,997,1021,,,691.8573709,1200
39962246,Regensburg,Dom Sankt Peter,1000-1020,2000,3300,2,1.879,934.6744685,1000,1000,1020,,,934.6744685,2000
12540811,Wetzlar,Dom,880-897,500,2100,2,1.879,594.7928436,525,880,897,,,594.7928436,500
273360279,Eichstaett (Eichst_tt),Dom zu Eichst_tt,740-750,100,3800,3,1.879,572.8003258,,740,750,,,572.8003258,100
273360279,Eichstaett (Eichst_tt),Dom zu Eichst_tt,740-750,100,1000,2,1.879,283.2346874,,740,750,,,283.2346874,100
273360279,Eichstaett (Eichst_tt),Dom zu Eichst_tt,740-750,100,400,1,1.879,212.8791911,,740,750,,,212.8791911,100
273360279,Eichstaett (Eichst_tt),Dom zu Eichst_tt,800-850,400,3800,2,1.879,1076.291812,,800,850,,,1076.291812,400
273360279,Eichstaett (Eichst_tt),Dom zu Eichst_tt,800-850,400,1000,1,1.879,532.1979776,,800,850,,,532.1979776,400
273360279,Eichstaett (Eichst_tt),Dom zu Eichst_tt,980-990,1000,3800,1,1.879,2022.352315,,980,990,,,2022.352315,1000
26150815,Wuerzburg(WÙrzburg),Kiliansdom,855-892,2000,3900,1,1.879,2075.572113,1950,855,892,,,2075.572113,2000
63420359,Rouen,Cath_drale Notre-Dame,before 700,1200,5800,3,1.879,874.2741815,, < 700,,,,874.2741815,1200
155326066,Tongeren,Onze-Lieve-Vrouwebasiliek,before 700,850,2200,2,1.879,623.1163123,,700,,,,623.1163123,850
155326066,Tongeren,Onze-Lieve-Vrouwebasiliek,before 700,850,1400,1,1.879,745.0771687,,700,,,,745.0771687,850
155326066,Tongeren,Onze-Lieve-Vrouwebasiliek,1000-1200,1400,2200,1,1.879,1170.835551,,1000,1200,,,1170.835551,1400
118371695,Tournai (Doornik),st Brice,900-1000,450,600,1,1.879,319.3187866,,900,1000,,,319.3187866,450
