1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,Department,Latitude,Longitude,Monument,Priority,Region,id,name
,,,,,,,,,,,,,,,,,,,,Essonne,48.474,2.4969,Saint-Aignan,4,Gâtinais,Synopsis.php?id=SOISY-E,Soisy-sur-Ecole 
,59.0,,,,148.0,,,,,,,,,,,,,,,Eure-et-Loir,48.437,1.4940,Saint-Hilaire,2,Perche,Synopsis.php?id=S-MTN-VH,Saint-Martin-du-Val 
,,,,,,,,,,,,,,80.0,43.0,,,,,Essonne,48.551,2.3661,Saint-Martin,3,Parisis,Synopsis.php?id=VERT-PET,Vert-le-Petit 
,,,,,,,,,,,,,,,,,,,,Marne,49.157,3.9135,Saint-Remi,4,Reimois,Synopsis.php?id=POURCY,Pourcy 
,,,,,,,,,,10.0,,48.0,20.0,,18.0,,,,,Val-d'Oise,48.987,2.1602,Saint-Martin,2,Parisis,Synopsis.php?id=HERBLAY,Herblay 
,,,,,,,,,,,,,,,,,,,,Marne,49.091,4.2252,Saint-Hippolyte,4,Châlonais,Synopsis.php?id=VAUDEMAN,Vaudemange 
,,,,,,,,,,,,,,,,,,,,Oise,49.330,2.4981,Saint-Hilaire,4,Therain,Synopsis.php?id=VERDERON,Verderonne 
,,,28.0,,,,22.0,13.0,,110.0,,,,15.0,,,,,,Yvelines,48.980,1.9759,Saint-Martin,2,Meulanois,Synopsis.php?id=VERN-S-N,Verneuil-sur-Seine 
,,,,,,,,,,,,,,,19.0,,,,,Seine-et-Marne,48.410,3.3538,Saint-Martin,3,Provinois,Synopsis.php?id=VILLUIS,Villuis 
,,,,,,,,,,10.0,,,,,,,,,,Marne,49.141,3.7349,Saint-Symphorien,3,Soissonais,Synopsis.php?id=ANTHENAY,Anthenay 
,,,,,,,,,,,,,,,,,,,,Aisne,49.651,3.6728,Saint-Remi,4,Laonnois,Synopsis.php?id=VERN-S-R,Verneuil-sur-Serre 
,,,,,,,,,,,40.0,,,,,,,,,Seine-et-Marne,48.561,3.3025,Notre-Dame,2,Provinois,Synopsis.php?id=PROVI-ND,Provins 
,,,,,,,,,,60.0,60.0,60.0,,,,,,,,Seine-et-Marne,48.617,3.3345,Notre-Dame-de-l'Assomption,1,Provinois,Synopsis.php?id=VOULTON,Voulton 
,,,,,,,,,,,,,,,,,,,,Oise,49.211,2.7449,Saint-Maurice,4,Senlisis,Synopsis.php?id=DUCY,Ducy 
,,,,,,,,,,24.0,,,,,56.0,16.0,,,,Essonne,48.530,2.4433,Saint-Sulpice,2,Parisis,Synopsis.php?id=CHEVANNE,Chevannes 
,,,,,,,,,,25.0,30.0,40.0,,,,,,,,Aisne,49.355,3.7139,Saint-Georges,1,Soissonais,Synopsis.php?id=GLENNES,Glennes 
,,,,,,,,,,,,,,,,,,,,Aisne,49.390,3.4140,Saint-Marguérite,4,Soissonais,Synopsis.php?id=BUCY-L,Bucy-le-Long 
,,,,,,,,,,,,,,,,,,,,Aisne,49.325,3.6549,Notre-Dame-de-l'Assomption,4,Soissonais,Synopsis.php?id=PERLES,Perles 
,,,,,,,,,,,,,,,,,,,,Oise,49.243,1.8470,Saint-Martin,4,Beauvaisis,Synopsis.php?id=REILLY,Reilly 
,,,,,32.0,76.0,,208.0,,,,,,,,,,,,Marne,49.017,4.1277,Saint-Remi,3,Châlonais,Synopsis.php?id=ATHIS,Athis 
,,,,,,,,,,,,,,,,24.0,,,,Seine-et-Marne,49.064,2.6041,Saint-Opportune,3,Senlisis,Synopsis.php?id=MOUSSY-N,Moussy-le-Neuf 
,,,,,,,,,,70.0,,,,,50.0,,,,,Oise,49.320,2.3204,Saint-Léger,2,Therain,Synopsis.php?id=MOUY,Mouy 
,,,,,,,,,,,,,,,,,,,,Oise,49.187,1.8528,Saint-Martin,4,Vexin,Synopsis.php?id=HADANCOU,Hadancourt-le-Haut-Cloche 
,,,,,,,,,,,,,,,,,,,,Aisne,49.120,3.2184,Saint-Gengoulph,4,Soissonais,Synopsis.php?id=S-GENGOU,Saint-Gengoulph 
,,,,,,,,,,,,,,,,,,,,Aisne,49.416,3.6380,Saint-Jean-Baptiste,4,Soissonais,Synopsis.php?id=MOUSSY-V,Moussy-Verneuil 
,,,,,,,,,,,,,,,,,,,,Aisne,49.145,3.1988,Saint-Médard,4,Soissonais,Synopsis.php?id=DAMMARD,Dammard 
