ctr,year,pop,decade,broadberry,bd,pop_spl
nl,,,1980,,post,818.024145513108
de,,,1980,,post,278031.45904172
ch,,,1980,,post,6168.34079789042
it,,,1980,,post,302048.115971386
uk,,,2000,,post,82456277.5661137
fr,,,2000,,post,121394.255144342
be,,,2000,,post,339174.280547923
nl,,,2000,,post,681.091334439074
de,,,2000,,post,489434.943715731
ch,,,2000,,post,7644.54829303201
it,,,2000,,post,525107.964508478
