osmid,cause,year,earthquake,war,fire,other_natural,other
104120377,fire,1291,FALSE,FALSE,TRUE,FALSE,FALSE
30333584,fire,1142,FALSE,FALSE,TRUE,FALSE,FALSE
53212149,fire,943,FALSE,FALSE,TRUE,FALSE,FALSE
113302207,fire,1256,FALSE,FALSE,TRUE,FALSE,FALSE
87726443,damaged by war,1248,FALSE,TRUE,FALSE,FALSE,FALSE
163807374,fire,1450,FALSE,FALSE,TRUE,FALSE,FALSE
144371662,fire,1483,FALSE,FALSE,TRUE,FALSE,FALSE
182462694,war,1429,FALSE,TRUE,FALSE,FALSE,FALSE
2052246,collapsed,965,FALSE,FALSE,FALSE,FALSE,TRUE
44710124,fire,1259,FALSE,FALSE,TRUE,FALSE,FALSE
29173386,destroyed,1370,FALSE,FALSE,FALSE,FALSE,TRUE
87428181,fire,1300,FALSE,FALSE,TRUE,FALSE,FALSE
144127897,fire,1208,FALSE,FALSE,TRUE,FALSE,FALSE
86409136,fire,1046,FALSE,FALSE,TRUE,FALSE,FALSE
100608564,collapse of few bays,1440,FALSE,FALSE,FALSE,FALSE,TRUE
46101039,fire,1325,FALSE,FALSE,TRUE,FALSE,FALSE
45954637,damaged by vikings,882,FALSE,TRUE,FALSE,FALSE,FALSE
25270980,fire,1150,FALSE,FALSE,TRUE,FALSE,FALSE
4532022,fire,1248,FALSE,FALSE,TRUE,FALSE,FALSE
30079415,damaged by vikings,882,FALSE,TRUE,FALSE,FALSE,FALSE
27780576,damaged by vikings,882,FALSE,TRUE,FALSE,FALSE,FALSE
191889557,partly damaged by fire,1403,FALSE,FALSE,TRUE,FALSE,FALSE
37993987,fire,1276,FALSE,FALSE,TRUE,FALSE,FALSE
96250657,lightning in tower,1406,FALSE,FALSE,FALSE,TRUE,FALSE
27703904,fire,1188,FALSE,FALSE,TRUE,FALSE,FALSE
22993770,fire,1207,FALSE,FALSE,TRUE,FALSE,FALSE
31359475,war,1213,FALSE,TRUE,FALSE,FALSE,FALSE
32061648,war,1213,FALSE,TRUE,FALSE,FALSE,FALSE
155551498,damaged by fire,1009,FALSE,FALSE,TRUE,FALSE,FALSE
70485785,fire,1348,FALSE,FALSE,TRUE,FALSE,FALSE
94521804,partly collapsed,1025,FALSE,FALSE,FALSE,FALSE,TRUE
144832880,fire,947,FALSE,FALSE,TRUE,FALSE,FALSE
228534603,partly damaged by fire,1327,FALSE,FALSE,TRUE,FALSE,FALSE
362387487,fire,1327,FALSE,FALSE,TRUE,FALSE,FALSE
96243999,fire,1071,FALSE,FALSE,TRUE,FALSE,FALSE
90405282,west façade damaged by earthquake,1318,TRUE,FALSE,FALSE,FALSE,FALSE
26844628,damaged by vikings,880,FALSE,TRUE,FALSE,FALSE,FALSE
35840960,fire,1058,FALSE,FALSE,TRUE,FALSE,FALSE
255378538,fire,1000,FALSE,FALSE,TRUE,FALSE,FALSE
24771505,war 978,978,FALSE,TRUE,FALSE,FALSE,FALSE
203521174,fire,1070,FALSE,FALSE,TRUE,FALSE,FALSE
39962246,fire,1273,FALSE,FALSE,TRUE,FALSE,FALSE
95401019,collapse of tower,1382,FALSE,FALSE,FALSE,FALSE,TRUE
50284360,damaged by vikings,882,FALSE,TRUE,FALSE,FALSE,FALSE
106074009,fire,1039,FALSE,FALSE,TRUE,FALSE,FALSE
148460207,fire,1299,FALSE,FALSE,TRUE,FALSE,FALSE
26498173,fire,1256,FALSE,FALSE,TRUE,FALSE,FALSE
26150815,fire,854,FALSE,FALSE,TRUE,FALSE,FALSE
65309666,ravaged by vikings,853,FALSE,TRUE,FALSE,FALSE,FALSE
88613054,destroyed by saracens,800,FALSE,TRUE,FALSE,FALSE,FALSE
309089736,fire,1019,FALSE,FALSE,TRUE,FALSE,FALSE
126915366,fire,1032,FALSE,FALSE,TRUE,FALSE,FALSE
64568954,partly damaged by war,1440,FALSE,TRUE,FALSE,FALSE,FALSE
68062611,destroyed by saracens,1124,FALSE,TRUE,FALSE,FALSE,FALSE
83440270,destroyed by saracens,975,FALSE,TRUE,FALSE,FALSE,FALSE
65470768,destroyed by saracens,850,FALSE,TRUE,FALSE,FALSE,FALSE
62630233,fire,880,FALSE,FALSE,TRUE,FALSE,FALSE
83768653,destroyed by saracens,890,FALSE,TRUE,FALSE,FALSE,FALSE
83764091,destroyed by saracens,890,FALSE,TRUE,FALSE,FALSE,FALSE
132132649,fire,1015,FALSE,FALSE,TRUE,FALSE,FALSE
72680580,partly damaged by fire,1199,FALSE,FALSE,TRUE,FALSE,FALSE
117529525,fire,1272,FALSE,FALSE,TRUE,FALSE,FALSE
106241292,fire,1225,FALSE,FALSE,TRUE,FALSE,FALSE
106264971,partly damaged by fire,1180,FALSE,FALSE,TRUE,FALSE,FALSE
32460887,partly damaged by fire,1212,FALSE,FALSE,TRUE,FALSE,FALSE
133271301,fire,1209,FALSE,FALSE,TRUE,FALSE,FALSE
133271309,fire,1209,FALSE,FALSE,TRUE,FALSE,FALSE
119060953,destroyed by saracens,730,FALSE,TRUE,FALSE,FALSE,FALSE
80181137,invasion,725,FALSE,TRUE,FALSE,FALSE,FALSE
64605291,partly damaged by fire,1487,FALSE,FALSE,TRUE,FALSE,FALSE
155629614,damaged in:,1417,FALSE,FALSE,FALSE,FALSE,TRUE
155702920,damaged in:,1417,FALSE,FALSE,FALSE,FALSE,TRUE
104688596,damaged in:,1346,FALSE,FALSE,FALSE,FALSE,TRUE
199802962,fire,1145,FALSE,FALSE,TRUE,FALSE,FALSE
68341804,damaged in:,1240,FALSE,FALSE,FALSE,FALSE,TRUE
91478142,partly damaged in:,1355,FALSE,FALSE,FALSE,FALSE,TRUE
121570436,destroyed by saracens,790,FALSE,TRUE,FALSE,FALSE,FALSE
126333518,destroyed by saracens,731,FALSE,TRUE,FALSE,FALSE,FALSE
113037532,damaged by vikings,880,FALSE,TRUE,FALSE,FALSE,FALSE
102809767,damaged by vikings,858,FALSE,TRUE,FALSE,FALSE,FALSE
102882828,damaged by vikings,858,FALSE,TRUE,FALSE,FALSE,FALSE
112099668,damaged by vikings,841,FALSE,TRUE,FALSE,FALSE,FALSE
69972010,damaged by vikings,845,FALSE,TRUE,FALSE,FALSE,FALSE
67358511,damaged by vikings,845,FALSE,TRUE,FALSE,FALSE,FALSE
