osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
258888722,Ancona,Parrocchia di Santa Maria Liberatrice,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
447985150,Ancona,Chiesa di San Francesco alle Scale,1397.527385,it.wikipedia.org/wiki/Chiesa_di_San_Francesco_alle_Scale,http://www.openstreetmap.org/way/447985150,conventual,1,43.62151399,13.51226359,x,x,x,x,x,x,x,x,x,x,x,x,x,,
447985150,Ancona,Chiesa di San Francesco alle Scale,year,,,conventual,1,,,1200,1250,1323,1350,,,,,,,,,,,
447985150,Ancona,Chiesa di San Francesco alle Scale,surface,,,conventual,1,,,0,1200,0,1400,,,,,,,,,,,
447985150,Ancona,Chiesa di San Francesco alle Scale,height,,,conventual,1,,,19,19,20,20,,,,,,,,,,,
447985150,Ancona,Chiesa di San Francesco alle Scale,m3,,,conventual,1,,,,,,,,,,,,,,,,,
447985150,Ancona,Chiesa di San Francesco alle Scale,guestimate,,,conventual,1,,,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11120487,Ancona,Cattedrale di San Ciriaco,1519.26487,it.wikipedia.org/wiki/Duomo_di_Ancona,http://www.openstreetmap.org/way/11120487,cathedral,,43.62535006,13.51018181,x,x,x,x,x,x,x,x,x,x,x,x,x,,
11120487,Ancona,Cattedrale di San Ciriaco,year,,,cathedral,,,,500,600,995,1017,1128,1189,1234,1250,,,,,,,
11120487,Ancona,Cattedrale di San Ciriaco,surface,,,cathedral,,,,0,1000,0,1000,0,1200,,300,,,,,,,
11120487,Ancona,Cattedrale di San Ciriaco,height,,,cathedral,,,,17,17,17,17,20,20,20,20,,,,,,,
11120487,Ancona,Cattedrale di San Ciriaco,m3,,,cathedral,,,,,,,,,,,,,,,,,,
11120487,Ancona,Cattedrale di San Ciriaco,guestimate,,,cathedral,,,,1,1,1,1,1,1,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
162259412,Aosta,Cattedrale di Santa Maria Assunta,1998.568323,it.wikipedia.org/wiki/Cattedrale_di_Aosta,http://www.openstreetmap.org/way/162259412,cathedral,,45.7381387,7.318056813,x,x,x,x,x,x,x,x,x,x,x,x,x,,
162259412,Aosta,Cattedrale di Santa Maria Assunta,year,,,cathedral,,,,300,400,994,1025,1480,1520,,,,,,,,,
162259412,Aosta,Cattedrale di Santa Maria Assunta,surface,,,cathedral,,,,0,1400,0,1600,0,1600,,,,,,,,,
162259412,Aosta,Cattedrale di Santa Maria Assunta,height,,,cathedral,,,,20,20,21,21,21,21,,,,,,,,,
