city,UN.country.code,country,transport.location,X__1,X700y,X800y,X900y,X1000y,X1100y,X1200y,X1300y,X1400y,X1500y,X1550y,X1600y,X1650y,X1700y,X1750y,X1800y,X1850y,X1900y,X1950y,X2000y,latitude,longtitude,elevation,loc,lat,lon,loc_frmtd,distance
Cannes,250,France,med,,1,1,1,2,2,2,2,1,2,2,3,3,4,4,3,6,30,50,67,43.55,7.02,16,Cannes,43.552847,7.017369,"Cannes, France",0.381124356729694
Chalon-sur-Saone (Chalon-sur-Saône),250,France,river mediterranean,,1,2,2,2,2,3,3,2,8,8,9,9,10,10,11,16,27,37,47,48.95,4.37,175,Chalon-sur-Saone (Chalon-sur-Saône),46.780764,4.853947,"71100 Chalon-sur-Saône, France",243.895830581362
"Digne-les-Bains (Dinia, Digna)",250,France,river mediterranean,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,5,7,10,16,44.08,6.23,950,"Digne-les-Bains (Dinia, Digna)",44.092193,6.235976,"Digne, France",1.43688016197217
Givors,250,France,river mediterranean,,0,0,0,0,1,1,2,1,1,1,2,2,3,3,4,8,12,14,18,45.58,4.77,233,Givors,45.58329,4.772829,"69700 Givors, France",0.427151000627129
Hazebrouck,250,France,land north sea,,0,0,0,1,1,1,2,1,3,3,3,4,4,4,4,5,13,15,21,50.72,2.53,33,Hazebrouck,50.72748,2.542555,"59190 Hazebrouck, France",1.21588320427636
Lavaur,250,France,river north sea,,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,7,7,6,9,43.68,1.8,141,Lavaur,43.699185,1.820699,"81500 Lavaur, France",2.70714201196027
Le Blanc,250,France,river north sea,,0,0,0,0,0,0,0,1,2,2,3,4,4,5,4,7,7,6,7,46.63,1.07,100,Le Blanc,46.633239,1.064289,"36300 Le Blanc, France",0.566483056894139
Lens,250,France,land north sea,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,10,24,41,36,50.43,2.83,44,Lens,50.42893,2.83183,"Lens, France",0.176280483804797
Loches,250,France,river north sea,,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,5,5,6,6,47.13,1,97,Loches,47.128158,0.997664,"37600 Loches, France",0.270830941489305
Marmande,250,France,river north sea,,0,0,0,0,0,1,2,1,1,1,2,2,3,3,4,8,10,12,17,44.5,0.17,40,Marmande,44.500484,0.159869,"47200 Marmande, France",0.807502700875214
Maubeuge,250,France,river north sea,,0,0,1,1,1,1,2,1,1,1,2,2,2,2,3,15,21,24,34,50.28,3.97,143,Maubeuge,50.280228,3.9674,"59600 Maubeuge, France",0.187050491666468
Montbeliard (Montbéliard),250,France,river mediterranean,,0,0,0,1,1,1,2,1,1,1,2,2,3,3,4,5,10,17,28,47.52,6.78,375,Montbeliard (Montbéliard),47.510356,6.798466,"25200 Montbéliard, France",1.75620786582713
Quimperle,250,France,river north sea,,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,6,9,10,11,47.87,-3.55,13,Quimperle,47.872586,-3.547546,"29300 Quimperlé, France",0.341144274184413
Ribeauville (Ribeauvillé),250,France,land north sea,,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,6,6,5,5,48.2,7.33,150,Ribeauville (Ribeauvillé),48.194668,7.319091,"Ribeauvillé, France",1.00459119051424
St Nazaire,250,France,north sea + river,,0,0,0,0,1,1,2,1,1,2,2,2,2,3,4,5,36,39,66,47.28,-2.18,7,St Nazaire,47.2734979,-2.213848,"44600 Saint-Nazaire, France",2.6610826373473
Baden-Baden,276,Germany,river north sea,,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,7,16,37,53,48.77,8.23,161,Baden-Baden,48.76564,8.2285242,"Baden-Baden, Germany",0.496848241422938
Bremerhaven,276,Germany,north sea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20,114,121,53.55,8.58,2,Bremerhaven,53.5395845,8.5809425,"Bremerhaven, Germany",1.16090042902372
Celle,276,Germany,river north sea,,0,0,0,1,1,1,1,1,1,2,3,3,3,3,4,5,20,60,72,52.62,10.08,40,Celle,52.6175963,10.0628514,"Celle, Germany",1.19182387554505
Doebeln (Döbeln),276,Germany,river north sea,,0,0,0,1,1,1,1,1,2,1,1,1,1,3,4,6,16,31,23,51.12,13.12,158,Doebeln (Döbeln),51.1229322,13.1167196,"Döbeln, Germany",0.398953811906131
Ebersbach,276,Germany,river north sea,,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,13,7,51,14.58,382,"Ebersbach, Görlitz",51.0040105,14.5905346,"Ebersbach, Germany",0.863642975095776
